iso3_orig,iso3_dest,year,migrant_stock,dest_total_migrant_stock,orig_total_migrant_stock,origin_share_in_dest_migrants,dest_share_of_origin_emigration
IDN,BRN,2010,6036.0,53462.0,3106885.0,0.11290262242340354,0.0019427819182235584
IDN,BRN,2015,6165.0,54603.0,3351461.0,0.11290588429207186,0.0018394962674487337
IDN,BRN,2020,6717.0,59510.0,3546661.0,0.11287178625441102,0.001893894003402073
IDN,BRN,2024,7195.0,63747.0,3856982.0,0.11286805653599385,0.0018654481664679794
IDN,CAN,2000,9197.0,268121.0,2187871.0,0.03430167722781878,0.00420362992150817
IDN,CAN,2005,11931.0,281778.0,2470619.0,0.042341843578987716,0.004829154151247117
IDN,CAN,2010,14446.0,342515.0,3106885.0,0.04217625505452316,0.004649673225755057
IDN,CAN,2015,15781.0,376095.0,3351461.0,0.04196014304896369,0.0047086927164003995
IDN,CAN,2020,16012.0,308605.0,3546661.0,0.05188509583448097,0.0045146688674220625
IDN,CAN,2024,16815.0,298361.0,3856982.0,0.056357902004618564,0.004359626257006126
IDN,CHN,2000,69472.0,143280.0,2187871.0,0.4848687883863763,0.03175324322137823
IDN,CHN,2005,48554.0,134556.0,2470619.0,0.360846041796724,0.019652564802585912
IDN,CHN,2010,144618.0,244237.0,3106885.0,0.5921215868193599,0.04654758705262667
IDN,CHN,2015,226184.0,326332.0,3351461.0,0.69311008420872,0.0674881790359488
IDN,CHN,2020,263382.0,359919.0,3546661.0,0.7317813174630958,0.07426196075689219
IDN,CHN,2024,296555.0,401377.0,3856982.0,0.7388440294286918,0.07688783613716631
IDN,CRI,2000,13.0,9683.0,2187871.0,0.0013425591242383558,5.941849405198021e-06
IDN,CRI,2005,10.0,6349.0,2470619.0,0.001575051189163648,4.047568645752339e-06
IDN,CRI,2010,18.0,12515.0,3106885.0,0.0014382740711146624,5.793584249175621e-06
IDN,CRI,2015,17.0,12694.0,3351461.0,0.001339215377343627,5.072414687206565e-06
IDN,CRI,2020,20.0,15233.0,3546661.0,0.0013129390139828005,5.63910675421192e-06
IDN,CRI,2024,24.0,18383.0,3856982.0,0.0013055540444976337,6.22248172275629e-06
IDN,CUW,2000,187.0,527.0,2187871.0,0.3548387096774194,8.547121836707923e-05
IDN,CUW,2005,187.0,527.0,2470619.0,0.3548387096774194,7.568953367556876e-05
IDN,CUW,2010,169.0,474.0,3106885.0,0.35654008438818563,5.439531878392667e-05
IDN,CUW,2015,182.0,512.0,3351461.0,0.35546875,5.43046748865644e-05
IDN,CUW,2020,211.0,595.0,3546661.0,0.3546218487394958,5.949257625693575e-05
IDN,CUW,2024,295.0,832.0,3856982.0,0.3545673076923077,7.648467117554606e-05
IDN,CYP,2000,79.0,1545.0,2187871.0,0.0511326860841424,3.610816177004951e-05
IDN,CYP,2005,118.0,2323.0,2470619.0,0.05079638398622471,4.776131001987761e-05
IDN,CYP,2010,181.0,3564.0,3106885.0,0.05078563411896745,5.825770828337708e-05
IDN,CYP,2015,165.0,3271.0,3351461.0,0.05044328951391012,4.9232260199357834e-05
IDN,CYP,2020,169.0,3374.0,3546661.0,0.05008891523414345,4.765045207309072e-05
IDN,CYP,2024,179.0,3581.0,3856982.0,0.04998603741971516,4.640934284889066e-05
IDN,DNK,2000,616.0,9327.0,2187871.0,0.06604481612522783,0.0002815522487386139
IDN,DNK,2005,892.0,10477.0,2470619.0,0.0851388756323375,0.00036104312320110873
IDN,DNK,2010,1064.0,12604.0,3106885.0,0.08441764519200254,0.00034246520228460337
IDN,DNK,2015,1161.0,14475.0,3351461.0,0.08020725388601037,0.0003464160854027542
IDN,DNK,2020,1296.0,16236.0,3546661.0,0.07982261640798226,0.0003654141176729324
IDN,DNK,2024,1546.0,19207.0,3856982.0,0.08049148747852346,0.00040083153097421765
IDN,DZA,2000,1446.0,3417.0,2187871.0,0.4231782265144864,0.0006609164799935645
IDN,DZA,2005,1143.0,2702.0,2470619.0,0.42301998519615097,0.0004626370962094924
IDN,DZA,2010,1255.0,2967.0,3106885.0,0.4229861813279407,0.00040394156848418914
IDN,DZA,2015,1363.0,3222.0,3351461.0,0.4230291744258225,0.00040668830698014984
IDN,DZA,2020,1416.0,3347.0,3546661.0,0.4230654317299074,0.00039924875819820387
IDN,DZA,2024,1467.0,3468.0,3856982.0,0.42301038062283736,0.00038034919530347824
IDN,EGY,2000,1833.0,7182.0,2187871.0,0.2552213868003342,0.000837800766132921
